Year,Species.Group,Source,Species,Harvest,Landed Value,Wholesale Value
2016,Groundfish,Wild commercial,"Lingcod, wild",1.3,6.8,12.1
2016,Groundfish,Wild commercial,"Other groundfish, wild",1,2.9,16.6
2016,Groundfish,Wild commercial,"Pacific cod, wild",0.9,2,5
2016,Groundfish,Wild commercial,"Pollock, wild",2.2,1.1,5
2016,Groundfish,Wild commercial,"Rockfish, wild",16.7,27.6,51.6
2016,Groundfish,Wild commercial,"Sablefish, wild",1.9,27.6,35
2016,Groundfish,Wild commercial,"Soles, wild",3,3.8,9.2
2016,Herring,Wild commercial,"Herring food & bait, wild",7.6,4.5,8.8
2016,Herring,Wild commercial,"Herring spawn-on-kelp, wild",0.19,5,5.7
2016,Herring,Wild commercial,"Roe herring, wild",16.1,13,38.9
2016,Invertebrates,Farmed,"Geoducks & other clams, farmed",1,5.9,13.9
2016,Invertebrates,Farmed,"Oysters, farmed",9.3,15.3,31.4
2016,Invertebrates,Farmed,"Scallops & other invertebrates, farmed",0.7,3.5,5.9
2016,Invertebrates,Wild commercial,"Clams (excl. geoducks), wild",0.4,1.4,8.3
2016,Invertebrates,Wild commercial,"Crabs, wild",3.4,44.5,82.7
2016,Invertebrates,Wild commercial,"Geoducks, wild",1.1,32.8,38.7
2016,Invertebrates,Wild commercial,"Other invertebrates, wild",0.3,0.3,7.5
2016,Invertebrates,Wild commercial,"Prawns, wild",1.2,21.4,38.6
2016,Invertebrates,Wild commercial,"Scallops, wild",0.01,0.1,2
2016,Invertebrates,Wild commercial,"Sea cucumbers, wild",1.6,8.4,9.3
2016,Invertebrates,Wild commercial,"Sea urchins green, wild",0.22,1.1,2.5
2016,Invertebrates,Wild commercial,"Sea urchins red, wild",3.3,7,17.6
2016,Invertebrates,Wild commercial,"Shrimp, wild",3.5,7.8,16.3
2016,Other seafood,Farmed,"Other, farmed",1.7,13.4,38.3
2016,Other seafood,Wild commercial,"Other, wild",3.1,21.9,73.7
2016,Salmon,Farmed,Atlantic,90.5,713.1,758.4
2016,Salmon,Farmed,Pacific,2.3,30.2,39
2016,Salmon,Wild commercial,Chinook,1.7,21.5,26.6
2016,Salmon,Wild commercial,Chum,15.9,30.2,54.4
2016,Salmon,Wild commercial,Coho,1,5.1,28.6
2016,Salmon,Wild commercial,"Other salmon products, wild",,,3.5
2016,Salmon,Wild commercial,Pink,3.5,2.8,13.6
2016,Salmon,Wild commercial,Sockeye,2.6,18.3,85.7
2015,Groundfish,Wild commercial,"Arrowtooth flounders, wild",10.4,2.3,8.1
2015,Groundfish,Wild commercial,"Dogfish, wild",0.4,0.2,1
2015,Groundfish,Wild commercial,"Hake, wild",41.6,8,34.9
2015,Groundfish,Wild commercial,"Halibut, wild",3.7,53.8,98.1
2015,Groundfish,Wild commercial,"Lingcod, wild",1.7,8.5,13.1
2015,Groundfish,Wild commercial,"Other groundfish, wild",0.7,1.6,13.4
2015,Groundfish,Wild commercial,"Pacific cod, wild",1.5,2,6.2
2015,Groundfish,Wild commercial,"Pollock, wild",4.5,1.9,6.9
2015,Groundfish,Wild commercial,"Rockfish, wild",17.3,26.7,53.2
2015,Groundfish,Wild commercial,"Sablefish, wild",2.7,30.8,34.8
2015,Groundfish,Wild commercial,"Soles, wild",3.1,3.8,8.7
2015,Herring,Wild commercial,"Herring food & bait, wild",7.9,3.3,10.5
2015,Herring,Wild commercial,"Herring spawn-on-kelp, wild",0.12,2.8,3.3
2015,Herring,Wild commercial,"Roe herring, wild",14.5,9.4,35.5
2015,Invertebrates,Farmed,"Geoducks & other clams, farmed",1.1,6.7,13.1
2015,Invertebrates,Farmed,"Oysters, farmed",9.2,14.7,28.5
2015,Invertebrates,Farmed,"Scallops & other invertebrates, farmed",0.7,4.2,10
2015,Invertebrates,Wild commercial,"Clams (excl. geoducks), wild",0.4,1.3,3.6
2015,Invertebrates,Wild commercial,"Crabs, wild",4.3,55.1,68.2
2015,Invertebrates,Wild commercial,"Geoducks, wild",1.4,32.1,39.9
2015,Invertebrates,Wild commercial,"Other invertebrates, wild",0.2,0.6,6.4
2015,Invertebrates,Wild commercial,"Prawns, wild",1.8,28.9,39.6
2015,Invertebrates,Wild commercial,"Scallops, wild",0.01,0.1,1.1
2015,Invertebrates,Wild commercial,"Sea cucumbers, wild",1.7,6.8,7.7
2015,Invertebrates,Wild commercial,"Sea urchins green, wild",0.17,0.8,2.3
2015,Invertebrates,Wild commercial,"Sea urchins red, wild",3.9,5.7,20.2
2015,Invertebrates,Wild commercial,"Shrimp, wild",4.4,13.8,24.2
2015,Other seafood,Farmed,"Other, farmed",1.2,8.8,29.9
2015,Other seafood,Wild commercial,"Other, wild",5.3,15.3,54.3
2015,Salmon,Farmed,Atlantic,89.8,441.6,485.9
2015,Salmon,Farmed,Pacific,3.2,31.9,45.5
2015,Salmon,Wild commercial,Chinook,1.5,17,25
2015,Salmon,Wild commercial,Chum,11.4,18.9,30.3
2015,Salmon,Wild commercial,Coho,0.9,4.3,22.8
2015,Salmon,Wild commercial,"Other salmon products, wild",,,2
2015,Salmon,Wild commercial,Pink,2.6,1.6,11.9
2015,Salmon,Wild commercial,Sockeye,4.4,20.1,91.4
2014,Groundfish,Wild commercial,"Arrowtooth flounders, wild",11.8,2.6,7.6
2014,Groundfish,Wild commercial,"Dogfish, wild",0.2,0.1,0.3
2014,Groundfish,Wild commercial,"Hake, wild",37.4,9,27.2
2014,Groundfish,Wild commercial,"Halibut, wild",3.6,46.9,105.5
2014,Groundfish,Wild commercial,"Lingcod, wild",1.4,6.7,12
2014,Groundfish,Wild commercial,"Other groundfish, wild",0.9,1.9,17.5
2014,Groundfish,Wild commercial,"Pacific cod, wild",1.3,1.8,8.3
2014,Groundfish,Wild commercial,"Pollock, wild",7.6,2.4,8.7
2014,Groundfish,Wild commercial,"Rockfish, wild",16.2,24.3,46.1
2014,Groundfish,Wild commercial,"Sablefish, wild",1.8,16.6,27.7
2014,Groundfish,Wild commercial,"Soles, wild",3.7,4.4,10.8
2014,Herring,Wild commercial,"Herring food & bait, wild",5.6,2,7.4
2014,Herring,Wild commercial,"Herring spawn-on-kelp, wild",0.18,3.1,3.9
2014,Herring,Wild commercial,"Roe herring, wild",15,10.6,31.9
2014,Invertebrates,Farmed,"Geoducks & other clams, farmed",1.3,6,11.5
2014,Invertebrates,Farmed,"Oysters, farmed",8.2,13,29.7
2014,Invertebrates,Farmed,"Scallops & other invertebrates, farmed",0.7,3.1,9.3
2014,Invertebrates,Wild commercial,"Clams (excl. geoducks), wild",0.4,1,3.3
2014,Invertebrates,Wild commercial,"Crabs, wild",3.9,46.7,68.8
2014,Invertebrates,Wild commercial,"Geoducks, wild",1.5,40.5,43.8
2014,Invertebrates,Wild commercial,"Other invertebrates, wild",0.1,0.3,4.9
2014,Invertebrates,Wild commercial,"Prawns, wild",1.6,39,57.5
2014,Invertebrates,Wild commercial,"Scallops, wild",0.01,0.1,0.8
2014,Invertebrates,Wild commercial,"Sea cucumbers, wild",1.7,6.8,8.5
2014,Invertebrates,Wild commercial,"Sea urchins green, wild",0.14,0.5,1.5
2014,Invertebrates,Wild commercial,"Sea urchins red, wild",3.7,4.9,15.4
2014,Invertebrates,Wild commercial,"Shrimp, wild",0.5,2.2,7.2
2014,Other seafood,Farmed,"Other, farmed",1.5,12.9,31.7
2014,Other seafood,Wild commercial,"Other, wild",5.1,16.4,62.2
2014,Salmon,Farmed,Atlantic,64.1,364.5,409.3
2014,Salmon,Farmed,Pacific,3.6,34,46.3
2014,Salmon,Wild commercial,Chinook,2.4,18.7,25
2014,Salmon,Wild commercial,Chum,4.5,8.9,23.3
2014,Salmon,Wild commercial,Coho,0.9,3.3,23.1
2014,Salmon,Wild commercial,"Other salmon products, wild",,,1.9
2014,Salmon,Wild commercial,Pink,6.7,4.6,24.8
2014,Salmon,Wild commercial,Sockeye,28.1,102.4,209.2
2013,Groundfish,Wild commercial,"Arrowtooth flounders, wild",8.3,1.8,5.3
2013,Groundfish,Wild commercial,"Dogfish, wild",0.4,0.2,0.5
2013,Groundfish,Wild commercial,"Hake, wild",54.1,16.6,52
2013,Groundfish,Wild commercial,"Halibut, wild",3.7,40.3,110.7
2013,Groundfish,Wild commercial,"Lingcod, wild",1.6,5.3,10.4
2013,Groundfish,Wild commercial,"Other groundfish, wild",1,1.4,25.3
2013,Groundfish,Wild commercial,"Pacific cod, wild",1.3,1.7,5.5
2013,Groundfish,Wild commercial,"Pollock, wild",3.4,1.1,3.9
2013,Groundfish,Wild commercial,"Rockfish, wild",17.5,22.9,40
2013,Groundfish,Wild commercial,"Sablefish, wild",2,15.4,25.8
2013,Groundfish,Wild commercial,"Soles, wild",4.6,5,11.8
2013,Herring,Wild commercial,"Herring food & bait, wild",7.1,2.3,8.7
2013,Herring,Wild commercial,"Herring spawn-on-kelp, wild",0.06,1.8,2
2013,Herring,Wild commercial,"Roe herring, wild",14,12.9,35
2013,Invertebrates,Farmed,"Geoducks & other clams, farmed",1.2,7.1,11.2
2013,Invertebrates,Farmed,"Oysters, farmed",6.7,12.9,24.6
2013,Invertebrates,Farmed,"Scallops & other invertebrates, farmed",0.4,2.6,4.6
2013,Invertebrates,Wild commercial,"Clams (excl. geoducks), wild",0.4,1.2,3
2013,Invertebrates,Wild commercial,"Crabs, wild",3.5,36.2,64.2
2013,Invertebrates,Wild commercial,"Geoducks, wild",1.5,38.3,48.2
2013,Invertebrates,Wild commercial,"Other invertebrates, wild",0.3,0.5,3.9
2013,Invertebrates,Wild commercial,"Prawns, wild",1.7,35.3,53.2
2013,Invertebrates,Wild commercial,"Scallops, wild",0.01,0.1,3.1
2013,Invertebrates,Wild commercial,"Sea cucumbers, wild",1.7,6.4,7.4
2013,Invertebrates,Wild commercial,"Sea urchins green, wild",0.18,0.6,1.6
2013,Invertebrates,Wild commercial,"Sea urchins red, wild",3.4,4.4,12.9
2013,Invertebrates,Wild commercial,"Shrimp, wild",0.7,2.7,9
2013,Other seafood,Farmed,"Other, farmed",1.6,12.1,22.9
2013,Other seafood,Wild commercial,"Other, wild",5.4,24.7,63.2
2013,Salmon,Farmed,Atlantic,58.3,385.6,410.2
2013,Salmon,Farmed,Pacific,4.1,30.7,51.6
2013,Salmon,Wild commercial,Chinook,1.1,8.7,12.3
2013,Salmon,Wild commercial,Chum,8.6,11.2,28.5
2013,Salmon,Wild commercial,Coho,1.8,8.3,27.5
2013,Salmon,Wild commercial,"Other salmon products, wild",,,1.7
2013,Salmon,Wild commercial,Pink,19.5,13.7,39.2
2013,Salmon,Wild commercial,Sockeye,0.6,3.3,69.3
2012,Groundfish,Wild commercial,"Arrowtooth flounders, wild",5.2,1.4,4.8
2012,Groundfish,Wild commercial,"Dogfish, wild",0.9,0.5,2
2012,Groundfish,Wild commercial,"Hake, wild",46.9,16.5,48.6
2012,Groundfish,Wild commercial,"Halibut, wild",3.7,40.7,107.8
2012,Groundfish,Wild commercial,"Lingcod, wild",1.5,5.1,9
2012,Groundfish,Wild commercial,"Other groundfish, wild",1.1,1.5,17.5
2012,Groundfish,Wild commercial,"Pacific cod, wild",1.3,1.7,3.9
2012,Groundfish,Wild commercial,"Pollock, wild",5.1,2,6.8
2012,Groundfish,Wild commercial,"Rockfish, wild",16.6,22.4,44.6
2012,Groundfish,Wild commercial,"Sablefish, wild",2.3,25.7,26.4
2012,Groundfish,Wild commercial,"Soles, wild",4.9,5.9,11.5
2012,Herring,Wild commercial,"Herring food & bait, wild",4.4,1.3,4.9
2012,Herring,Wild commercial,"Herring spawn-on-kelp, wild",0.07,1.3,1.6
2012,Herring,Wild commercial,"Roe herring, wild",8.6,9.9,32
2012,Invertebrates,Farmed,"Geoducks & other clams, farmed",1.3,6.5,10.3
